Date,date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,cp_rl_126,cp_score_126,cp_rl_21,cp_score_21
1991-03-27,1991-03-27,AAPL,0.618302953,0.618302953,-0.010714285914285915,0.03144286959494868,-0.005424491645144392,-0.34075407404950003,1.3105842093806412,2.335445164844201,3.7618604367666655,1.359914591570878,1.2810053287275855,1.8698347250600718,2.2161252708489747,2,27,13,3,1991,0.8571643783900262,0.9999933837900694,0.2894952972847049,0.7749655403480135
1991-03-28,1991-03-28,AAPL,0.60714225,0.60714225,-0.01805054131772854,0.03125663021400993,0.0022228486901591034,-0.5774947969163317,1.1685757821739349,2.270201451998248,4.01043288131326,1.3170435512879415,1.2780471824659334,1.877471826886915,2.239774681249915,3,28,13,3,1991,0.865412997985519,0.9999960623677328,0.3678763857251668,0.764326355791956
1991-04-01,1991-04-01,AAPL,0.611606531,0.611606531,0.007352940764705496,0.030740343168224778,0.019071315037189736,0.23919514250270227,1.3949500995697104,2.4304838336718024,3.9473452397207205,1.4382804725986849,1.2828532763720362,1.8919717351312797,2.270205575029395,0,1,14,4,1991,0.8734451562611012,0.9999942061283564,0.4410228696776298,0.7471258114354453
1991-04-02,1991-04-02,AAPL,0.649552922,0.649552922,0.06204379625893841,0.031834920181405574,-0.011219846663442544,1.9489226266437292,1.7804339203527055,2.7380695359452063,3.8764825818575908,1.59776697304841,1.3447709659970206,1.9157272612152962,2.2908645817563014,1,2,14,4,1991,0.8811750283329587,0.999993604973223,0.4713309414251783,0.7759908186446413
1991-04-03,1991-04-03,AAPL,0.624999375,0.624999375,-0.037800687470389116,0.03238598058589734,0.00625211797821353,-1.167192926894103,1.3418357829885907,2.3698960129505053,3.7489690298579985,1.3161477686705914,1.3533845633663728,1.9330840648714096,2.321975727307804,2,3,14,4,1991,0.889000476345369,0.9999918670607,0.5321245833448394,0.691238921033164
1991-04-04,1991-04-04,AAPL,0.638392219,0.638392219,0.02142857182857183,0.031958575160776534,-0.008787320936783489,0.6705108635403617,0.983253359872896,2.612875521194735,4.594344580163396,1.4454855280517591,1.3834530372115488,1.9598530254261342,2.3581161556146433,3,4,14,4,1991,0.8969030403935359,0.9999939508241268,0.6074994472310236,0.6897008076274099
1991-04-05,1991-04-05,AAPL,0.619419023,0.619419023,-0.029720280785565212,0.03212545906109085,0.0026498342057262826,-0.9251317071936039,0.6873542818779683,2.3689209561941746,4.097749066959267,1.4188955767222908,1.3760136249035668,1.9835386215363844,2.4043735290467287,4,5,14,4,1991,0.9051421658258796,0.9998978724021352,0.6273078683554635,0.6693707746766832
1991-04-08,1991-04-08,AAPL,0.624999375,0.624999375,0.009009009721679284,0.03159878924544494,-0.0053398925046079905,0.28510616820478213,0.28239715543805216,2.46602206343559,4.228979152277977,1.506106372045061,1.3802261524478054,2.0139738734730486,2.456409775271235,0,8,15,4,1991,0.9129188735824445,0.9999355155450615,0.707684888365956,0.6701203240761302
1991-04-09,1991-04-09,AAPL,0.613838672,0.613838672,-0.017857142657142777,0.03137470643947315,-0.008213720024254358,-0.5691572825260398,0.4012625118867452,2.3675770610569544,3.863121764987762,1.3487033431303317,1.366495166776996,2.0474185270611645,2.520589052932242,1,9,15,4,1991,0.9208355008029061,0.9999673402871682,0.6219472411805484,0.6024113269933491
1991-04-10,1991-04-10,AAPL,0.597097617,0.597097617,-0.027272727776264993,0.031408564978507955,0.01855679885761499,-0.8683213574044849,0.3692685351247722,1.9169869810169728,3.938029847546383,1.2459240135989296,1.3128524091481377,2.0613548741221552,2.5727540856967805,2,10,15,4,1991,0.930275267598689,0.9999732868721108,0.6699108393770313,0.6139820603329926
1991-04-11,1991-04-11,AAPL,0.633927938,0.633927938,0.06168224416142665,0.03256197028595075,0.0030653718904724166,1.8943031892649378,0.8660142790510275,1.9602482152032499,4.59428772476351,1.2973136435302848,1.3274256057617733,2.0765755073262007,2.600174243246374,3,11,15,4,1991,0.9374026824602,0.9999473676347868,0.3806503988658906,0.5938149027329458
1991-04-12,1991-04-12,AAPL,0.640624359,0.640624359,0.010563378893075459,0.032033302663044966,-0.0390562882938491,0.3297624039641045,0.5655427450195964,2.071120423179362,4.40963557895736,1.2958560491909532,1.3520946359807937,2.0978703191998602,2.631983353380441,4,12,15,4,1991,0.9477307529647985,0.9999070394246476,0.5239223596164005,0.5790678381062624
1991-04-15,1991-04-15,AAPL,0.555803016,0.555803016,-0.13240418009144106,0.04016598982702882,0.007558283094685333,-3.296425176165896,-0.24978859741058926,1.0851243186377637,2.669418818386585,0.6631853579175809,1.2005008719370083,2.0867401786980424,2.6872591313465386,0,15,16,4,1991,0.32056785581322234,0.9994563251887156,1.569961092346126e-13,0.9796200871706544
1991-04-16,1991-04-16,AAPL,0.573660141,0.573660141,0.03212851403454775,0.03987594437532749,-0.003688135761396684,0.8057116775001493,-0.1652051128302912,1.1827015822033877,2.938553652881558,0.7670469233957193,1.1087518225043655,2.096690465709193,2.753537704706929,1,16,16,4,1991,0.49986822248267,0.7115685629438494,0.156983605781152,0.949370625059532
